,trial,opinion,activated,algorithm,seed_size,algorithm_time
68,8,538.701943524704,88,random_solution,60,9.965896606445312e-05
69,9,553.9854426452808,99,random_solution,60,0.00010323524475097656
70,0,562.7098244081075,115,random_solution,70,0.00011420249938964844
71,1,562.4745974094045,124,random_solution,70,0.0001308917999267578
72,2,553.2796470660059,119,random_solution,70,0.0001087188720703125
73,3,571.6951125443934,120,random_solution,70,0.0001709461212158203
74,4,568.0371200623782,118,random_solution,70,0.00013899803161621094
75,5,560.471976284509,117,random_solution,70,0.0001327991485595703
76,6,538.2437118797322,102,random_solution,70,0.00010800361633300781
77,7,556.1263421242662,105,random_solution,70,0.00032210350036621094
78,8,556.7093472088324,120,random_solution,70,0.00011110305786132812
79,9,549.1457544581796,98,random_solution,70,0.0001361370086669922
80,0,571.4587975931693,129,random_solution,80,0.00011086463928222656
81,1,567.9192816118998,134,random_solution,80,0.00012302398681640625
82,2,584.3254781038628,120,random_solution,80,0.00013709068298339844
83,3,563.7474293930765,132,random_solution,80,0.0001239776611328125
84,4,551.311134889147,121,random_solution,80,0.00010704994201660156
85,5,560.6611306606783,136,random_solution,80,0.00011897087097167969
86,6,584.6036147714851,157,random_solution,80,0.00015306472778320312
87,7,542.220812922052,134,random_solution,80,0.00013375282287597656
88,8,587.0758510122106,165,random_solution,80,0.00011587142944335938
89,9,569.9135513933178,139,random_solution,80,0.00011491775512695312
90,0,573.8499821636325,143,random_solution,90,0.0001308917999267578
91,1,575.597157664469,163,random_solution,90,0.0001277923583984375
92,2,586.1107163466032,154,random_solution,90,0.0001251697540283203
93,3,577.2341253369583,160,random_solution,90,0.0001289844512939453
94,4,587.6433149922747,153,random_solution,90,0.00013017654418945312
95,5,579.5925445282038,155,random_solution,90,0.00019884109497070312
96,6,560.5917603147907,132,random_solution,90,0.0004069805145263672
97,7,591.785011572858,158,random_solution,90,0.000164031982421875
98,8,591.1907251319045,163,random_solution,90,0.000125885009765625
99,9,559.4592009895886,143,random_solution,90,0.00013113021850585938
100,0,599.334467010246,184,random_solution,100,0.0001468658447265625
101,1,578.4946082107595,175,random_solution,100,0.0003046989440917969
102,2,611.1773391314259,177,random_solution,100,0.00013899803161621094
103,3,575.7927554006372,156,random_solution,100,0.00013399124145507812
104,4,591.2297416018322,178,random_solution,100,0.00013709068298339844
105,5,598.4972447818551,162,random_solution,100,0.00013494491577148438
106,6,565.304170467768,150,random_solution,100,0.00013399124145507812
107,7,553.7555738150975,135,random_solution,100,0.0001621246337890625
108,8,576.7415691371824,141,random_solution,100,0.0001442432403564453
109,9,579.9974554630596,163,random_solution,100,0.00015807151794433594
0,0,508.6194352686781,21,degree_solution,1,0.0020580291748046875
1,1,517.8222370870199,14,degree_solution,1,0.002647876739501953
2,2,507.2266089477202,11,degree_solution,1,0.0022640228271484375
3,3,514.864110348123,28,degree_solution,1,0.0022940635681152344
4,4,511.309850880874,20,degree_solution,1,0.0026056766510009766
5,5,502.99996826977105,18,degree_solution,1,0.0024738311767578125
6,6,502.6897189049377,7,degree_solution,1,0.002080202102661133
7,7,501.0418443646809,15,degree_solution,1,0.0023789405822753906
8,8,515.4642970300794,28,degree_solution,1,0.005120992660522461
9,9,500.8219110218976,15,degree_solution,1,0.0031783580780029297
10,0,537.4185474487936,70,degree_solution,10,0.0022230148315429688
11,1,557.2198390891889,78,degree_solution,10,0.0024662017822265625
12,2,542.1182604646768,70,degree_solution,10,0.002343893051147461
13,3,561.3459061505221,86,degree_solution,10,0.0033130645751953125
14,4,534.310064296788,74,degree_solution,10,0.002549886703491211
15,5,525.3556068267231,64,degree_solution,10,0.0022377967834472656
16,6,539.2902563068983,73,degree_solution,10,0.0036461353302001953
17,7,561.817016963119,89,degree_solution,10,0.0022940635681152344
18,8,527.2093203883134,78,degree_solution,10,0.0022890567779541016
19,9,536.3480983873369,76,degree_solution,10,0.0022590160369873047
20,0,563.3353317492817,127,degree_solution,20,0.0024051666259765625
21,1,564.1974669347474,112,degree_solution,20,0.0020818710327148438
22,2,569.1643524204229,125,degree_solution,20,0.002372264862060547
23,3,551.7665999840812,108,degree_solution,20,0.0025877952575683594
24,4,556.8949969822081,118,degree_solution,20,0.002318859100341797
25,5,535.8453900451798,94,degree_solution,20,0.002527952194213867
26,6,554.6347108613982,122,degree_solution,20,0.0025911331176757812
27,7,578.0929095472067,127,degree_solution,20,0.002724170684814453
28,8,552.6813517742744,105,degree_solution,20,0.0024318695068359375
29,9,570.8937392238747,111,degree_solution,20,0.002340078353881836
30,0,596.3530205675312,179,degree_solution,30,0.002338886260986328
31,1,580.2343448504599,139,degree_solution,30,0.002135038375854492
32,2,581.4930727787992,201,degree_solution,30,0.0025680065155029297
33,3,561.8150302239471,151,degree_solution,30,0.0022859573364257812
34,4,564.5838571206364,132,degree_solution,30,0.002354145050048828
35,5,576.9318549834227,145,degree_solution,30,0.002560138702392578
36,6,587.3377713381434,153,degree_solution,30,0.002399921417236328
37,7,557.4719325983855,127,degree_solution,30,0.002681732177734375
38,8,578.3053546371191,157,degree_solution,30,0.0020279884338378906
39,9,583.5389457128642,152,degree_solution,30,0.002511262893676758
40,0,590.4699309291493,179,degree_solution,40,0.002309083938598633
41,1,599.8566090110681,200,degree_solution,40,0.002559185028076172
42,2,597.7326233832558,179,degree_solution,40,0.002490997314453125
43,3,615.5866933816684,199,degree_solution,40,0.002655029296875
44,4,584.9946487808413,172,degree_solution,40,0.002744913101196289
45,5,589.5011471152626,173,degree_solution,40,0.0022859573364257812
46,6,585.7011328529667,162,degree_solution,40,0.0024268627166748047
47,7,612.0382251745962,200,degree_solution,40,0.0025641918182373047
48,8,618.685007081124,213,degree_solution,40,0.0024008750915527344
49,9,597.6662496451029,201,degree_solution,40,0.002357959747314453
50,0,605.9835386302622,208,degree_solution,50,0.0025627613067626953
51,1,583.1277610635424,202,degree_solution,50,0.002104043960571289
52,2,606.8940879778556,201,degree_solution,50,0.002404928207397461
53,3,619.1686411226272,219,degree_solution,50,0.002452850341796875
54,4,615.5118754408862,208,degree_solution,50,0.003966808319091797
55,5,603.7608884417721,195,degree_solution,50,0.002553224563598633
56,6,605.0438152478883,192,degree_solution,50,0.0025360584259033203
57,7,601.3001250159725,207,degree_solution,50,0.0026459693908691406
58,8,617.7052616391765,231,degree_solution,50,0.0024099349975585938
59,9,602.4144587656278,179,degree_solution,50,0.002651691436767578
60,0,607.4521982657069,218,degree_solution,60,0.0025811195373535156
61,1,604.2909185964221,192,degree_solution,60,0.0027310848236083984
62,2,621.0152034081462,216,degree_solution,60,0.005578041076660156
63,3,615.423856922981,230,degree_solution,60,0.002395153045654297
64,4,628.7643289743157,224,degree_solution,60,0.0021610260009765625
65,5,619.1926629507287,219,degree_solution,60,0.002525806427001953
66,6,620.4578806606403,234,degree_solution,60,0.002615690231323242
67,7,609.4027698185415,215,degree_solution,60,0.0023801326751708984
68,8,612.711493055765,225,degree_solution,60,0.0023870468139648438
69,9,617.562656587943,222,degree_solution,60,0.002537965774536133
70,0,621.7696547441863,247,degree_solution,70,0.002361774444580078
71,1,644.2696873689215,264,degree_solution,70,0.002385854721069336
72,2,624.0943488620428,254,degree_solution,70,0.002344846725463867
73,3,611.8139652417237,232,degree_solution,70,0.002641916275024414
74,4,631.400543823809,238,degree_solution,70,0.002413034439086914
75,5,630.3752381555917,255,degree_solution,70,0.0023462772369384766
76,6,616.7089238274518,240,degree_solution,70,0.0024399757385253906
77,7,640.0295873149803,261,degree_solution,70,0.0026330947875976562
